annee,genre,popularite
1958,Ska/Reggae/Dancehall,0.5
1959,Ska/Reggae/Dancehall,0.4
1961,Ska/Reggae/Dancehall,0.1
1962,Ska/Reggae/Dancehall,0.2
1963,Ska/Reggae/Dancehall,0.2
1964,Ska/Reggae/Dancehall,0.8
1965,Ska/Reggae/Dancehall,0.1
1966,Ska/Reggae/Dancehall,0.1
1967,Ska/Reggae/Dancehall,0.1
1968,Ska/Reggae/Dancehall,0.1
1969,Ska/Reggae/Dancehall,0.3
1970,Ska/Reggae/Dancehall,0.2
1971,Ska/Reggae/Dancehall,0.2
1976,Ska/Reggae/Dancehall,0.1
1977,Ska/Reggae/Dancehall,0.1
1978,Ska/Reggae/Dancehall,0.1
1979,Ska/Reggae/Dancehall,0.2
1982,Ska/Reggae/Dancehall,0.1
1983,Ska/Reggae/Dancehall,0.4
1984,Ska/Reggae/Dancehall,0.4
1985,Ska/Reggae/Dancehall,0.3
1987,Ska/Reggae/Dancehall,0.1
1988,Ska/Reggae/Dancehall,0.8
1989,Ska/Reggae/Dancehall,0.3
1990,Ska/Reggae/Dancehall,1.3
1991,Ska/Reggae/Dancehall,1.6
1992,Ska/Reggae/Dancehall,1.4
1993,Ska/Reggae/Dancehall,3.9
1994,Ska/Reggae/Dancehall,3.4
1995,Ska/Reggae/Dancehall,2.0
1996,Ska/Reggae/Dancehall,0.7
1997,Ska/Reggae/Dancehall,0.3
1998,Ska/Reggae/Dancehall,0.9
1999,Ska/Reggae/Dancehall,0.6
2000,Ska/Reggae/Dancehall,0.4
2001,Ska/Reggae/Dancehall,0.9
2002,Ska/Reggae/Dancehall,1.3
2003,Ska/Reggae/Dancehall,1.9
2004,Ska/Reggae/Dancehall,2.6
2005,Ska/Reggae/Dancehall,1.3
2006,Ska/Reggae/Dancehall,2.1
2007,Ska/Reggae/Dancehall,0.2
2009,Ska/Reggae/Dancehall,0.2
2010,Ska/Reggae/Dancehall,0.6
2011,Ska/Reggae/Dancehall,0.1
2012,Ska/Reggae/Dancehall,0.0
2013,Ska/Reggae/Dancehall,0.0
2014,Ska/Reggae/Dancehall,0.1
2015,Ska/Reggae/Dancehall,0.9
2016,Ska/Reggae/Dancehall,0.4
1958,Punk,0.0
1962,Punk,0.5
1963,Punk,0.1
1966,Punk,0.1
1967,Punk,0.0
1968,Punk,0.1
1970,Punk,0.1
1971,Punk,0.1
1972,Punk,0.2
1974,Punk,0.3
1975,Punk,0.1
1977,Punk,0.3
1978,Punk,0.5
1980,Punk,0.3
1981,Punk,0.1
1982,Punk,0.5
1983,Punk,0.4
1984,Punk,0.3
1988,Punk,0.4
1989,Punk,0.2
1990,Punk,0.4
1991,Punk,0.3
1992,Punk,0.0
1993,Punk,0.0
1997,Punk,0.0
1998,Punk,0.1
1999,Punk,0.5
2000,Punk,0.4
2001,Punk,0.6
2002,Punk,1.1
2003,Punk,2.3
2004,Punk,2.0
2005,Punk,4.8
2006,Punk,5.7
2007,Punk,5.3
2008,Punk,3.1
2009,Punk,3.2
2010,Punk,1.3
2011,Punk,1.2
2012,Punk,0.5
2013,Punk,1.3
2014,Punk,0.9
2015,Punk,1.2
2016,Punk,0.6
1967,Metal,0.1
1969,Metal,0.3
1970,Metal,0.6
1971,Metal,1.5
1972,Metal,0.9
1973,Metal,1.3
1974,Metal,0.2
1977,Metal,0.1
1978,Metal,0.1
1979,Metal,0.3
1980,Metal,0.2
1982,Metal,0.1
1986,Metal,0.1
1988,Metal,0.2
1989,Metal,0.9
1990,Metal,0.6
1991,Metal,0.8
1992,Metal,1.7
1993,Metal,1.0
1994,Metal,0.8
1995,Metal,0.1
1996,Metal,0.9
1997,Metal,1.0
1998,Metal,0.8
1999,Metal,2.9
2000,Metal,4.4
2001,Metal,4.8
2002,Metal,5.9
2003,Metal,9.3
2004,Metal,7.5
2005,Metal,4.6
2006,Metal,3.8
2007,Metal,3.7
2008,Metal,4.1
2009,Metal,3.1
2010,Metal,1.2
2011,Metal,1.3
2012,Metal,0.5
2013,Metal,0.1
2015,Metal,0.1
2016,Metal,0.7
1958,Blues,3.4
1959,Blues,7.2
1960,Blues,4.8
1961,Blues,4.9
1962,Blues,3.6
1963,Blues,2.3
1964,Blues,2.2
1965,Blues,1.0
1966,Blues,1.5
1967,Blues,0.5
1968,Blues,1.1
1969,Blues,1.8
1970,Blues,1.7
1971,Blues,0.9
1972,Blues,1.8
1973,Blues,1.3
1974,Blues,1.9
1975,Blues,2.1
1976,Blues,1.3
1977,Blues,0.2
1978,Blues,0.1
1979,Blues,0.5
1980,Blues,0.5
1981,Blues,0.7
1984,Blues,0.1
1986,Blues,0.6
1987,Blues,0.5
1988,Blues,0.7
1989,Blues,0.6
1990,Blues,0.2
1993,Blues,0.1
1994,Blues,0.1
1998,Blues,0.2
2000,Blues,0.5
2014,Blues,0.4
2015,Blues,0.4
1963,Latin,0.6
1965,Latin,0.1
1966,Latin,0.3
1967,Latin,0.3
1968,Latin,1.2
1969,Latin,0.8
1970,Latin,0.0
1974,Latin,0.3
1975,Latin,0.0
1983,Latin,0.6
1984,Latin,1.2
1985,Latin,0.4
1986,Latin,0.3
1987,Latin,0.8
1988,Latin,1.2
1989,Latin,0.8
1990,Latin,0.8
1991,Latin,1.0
